name,muscle_target,secondary_target,push_pull,muscle_group,diffulty_level,equipment,resistance_type
Standard Push-Ups,chest,triceps,push,upper,,None,
Wide Front Pull-Ups,back,biceps,pull,upper,,,
Military Push-Ups,chest,triceps,push,upper,,,
Reverse Grip Chin-ups,back,biceps,pull,upper,,,
Wide Fly Push-Ups,chest,triceps,push,upper,,,
Close Grip Overhand Pull-Ups,back,biceps,pull,upper,,,
Decline Push-Ups,chest,triceps,push,upper,,,
Heavy Pants,back,,pull,upper,,Dumb Bells,
Diamond Push-Ups,chest,triceps,push,upper,,,
Lawnmower Pull,back,,pull,upper,,Dumb Bells,
Dive-bomber Push-Ups,chest,,push,upper,,,
Back Flys,back,,pull,upper,,Dumb Bells,
Shoulder Press,shoulders,,push,upper,,Dumb Bells,
Alternating Shoulder Press,shoulders,,push,upper,,Dumb Bells,
In & Out Bicep Curls,biceps,,pull,upper,,Dumb Bells,
Two-Arm Tricep Kickbacks,triceps,,push,upper,,Dumb Bells,
Deep Swimmer's Press,shoulders,,push,upper,,Dumb Bells,
Full Suspension Concentration Curls,biceps,,pull,upper,,Dumb Bells,
Chair Dips,triceps,shoulders,push,upper,,,
Upright Rows,shoulders,,pull,upper,,Dumb Bells,
Static Arm Curls,biceps,,pull,upper,,Dumb Bells,
Flip-grip Twist Tricep Kickbacks,triceps,,push,upper,,Dumb Bells,
Standing Curls,biceps,,pull,upper,,Dumb Bells,
Alternating Curls,biceps,,pull,upper,,Dumb Bells,
Tricep Extensions,triceps,,push,upper,,Dumb Bells,
Lying-down Tricep Extensions,triceps,,push,upper,,Dumb Bells,
In & Out Straight Arm Shoulder Flys,shoulders,,push,upper,,Dumb Bells,
Side Tri-Rises,triceps,,push,upper,,,
Switch Grip pull Ups,back,biceps,pull,upper,,,
Slow-Motion 3-in-1 Push-Ups,chest,triceps,push,upper,,,
Plange Push-Ups,chest,triceps,push,upper,,,
Pike Presses,shoulders,triceps,push,upper,,,
Floor Flys,chest,triceps,push,upper,,,
Overhead Tricep Extensions,triceps,,push,upper,,Dumb Bells,
Two Twitch Speed Push-Ups,chest,triceps,push,upper,,,
Y-Presses,shoulders,,push,upper,,Dumb Bells,
Side-to-Side Push-Ups,chest,triceps,push,upper,,,
One Arm Push-Ups,chest,triceps,push,upper,,,
Weighted Circles,shoulders,,N/A,upper,,,
Clap or Plyo Push-Ups,chest,triceps,push,upper,,,
Front-to-Back Tricep Extensions,triceps,,push,upper,,Dumb Bells,
One-Arm Balance Push-Ups,chest,triceps,push,upper,,,
Fly-Row Presses,shoulders,,Both,upper,,Dumb Bells,
Dumbbell Cross-Body Blows,triceps,biceps,push,upper,,Dumb Bells,
Twenty-Ones,biceps,,pull,upper,,Dumb Bells,
Elbows-Out Lawnmower pull,back,,pull,upper,,Dumb Bells,
Concentration Curls,biceps,,pull,upper,,Dumb Bells,
Reverse Grip Bent-over Rows,back,biceps,pull,upper,,Dumb Bells,
Open Arm Curls,biceps,,pull,upper,,Dumb Bells,
Alternating Bent-over pull,back,biceps,pull,upper,,Dumb Bells,
Chin-Ups,back,biceps,pull,upper,,,
Hammer Curls,biceps,,pull,upper,,Dumb Bells,
Curl-Up/Hammer Downs,biceps,,pull,upper,,Dumb Bells,
Superman,back,,N/A,upper,,,
Strip-Set Curls,biceps,,pull,upper,,Dumb Bells,
In-Out Hammer Curls,biceps,,pull,upper,,Dumb Bells,
Dumbell Pull Over,back,,pull,upper,,Dumb Bells,
Elevated Plank Row Hold,back,core,N/A,upper,,,
Incline chest Press,chest,,push,upper,,Dumb Bells,
Drop Squat,legs,cardio,N/A,lower,,,
Sit Squat Jump,legs,cardio,N/A,lower,,,
Split Jump,legs,cardio,N/A,lower,,,
High-Knee Run,cardio,legs,N/A,lower,,,
Butt Kicker,cardio,legs,N/A,lower,,,
Skater Jump,cardio,legs,N/A,lower,,,
Super Skater Jump,cardio,legs,N/A,lower,,,
Sprinter Skip,cardio,legs,,lower,,,
Runner Lunge,legs,cardio,,lower,,,
Long Jump Backward Hop,cardio,legs,,lower,,,
In-and-Out Squat,legs,cardio,,lower,,,
Single-leg Swing,legs,cardio,,lower,,,
Low Rotational Chop,legs,cardio,,lower,,,
Mountain Climber Switch,cardio,legs,,lower,,,
Running Mountain Climber,cardio,legs,,lower,,,
Spider Mountain Climber,cardio,legs,,lower,,,
Diagonal Mountain Climber,cardio,legs,,lower,,,
Semicircle Mountain Climber,cardio,legs,,lower,,,
Jumping Mountain Climber,cardio,legs,,lower,,,
Low Jumping Mountain Climber,cardio,legs,,lower,,,
Blast-off Push-Ups,chest,legs,,lower,,,
Seal Jack,cardio,,,lower,,,
Jumping Jacks,cardio,,,lower,,,
Cross-Body Jumping Jack,cardio,,,lower,,,
Preditor Jacks,cardio,legs,,lower,,,
Plank Jacks,cardio,core,,lower,,,
Push-Up Jacks,chest,triceps,,lower,,,
Low Box Runner / Soccor,cardio,,,lower,,,
360 Ball Runner / Soccor,cardio,,,lower,,,
Low Box Lateral Runner,cardio,,,lower,,,
Burpee,cardio,,,lower,,,
Lateral 3-Step,cardio,,,lower,,,
Alternating Fast Feed,cardio,,,lower,,,
Single Leg Pogo Jump,cardio,,,lower,,,
Pogo Jump,cardio,,,lower,,,
Side to Side Hops,cardio,,,lower,,,
Plank Hand Tap,core,chest,,core,,,
Plank Elbow Tap,core,chest,,core,,,
Plank Shoulder Tap,core,chest,,core,,,
Plank Hip Tap,core,chest,,core,,,
Plank Knee Tap,core,chest,,core,,,
Plank Toe Tap,core,chest,,core,,,
Lunge Runner,legs,cardio,,lower,,,
T-Rotation,core,chest,,core,,,
Tuck Jump,legs,cardio,,lower,,,
Knee Tuck Jump,legs,cardio,,lower,,,
Foot Tuck Jump,legs,cardio,,lower,,,
Speed Walkout,core,cardio,,lower,,,
Wide Leg Tiptoe Squat,legs,,,lower,,,
Fast Feet Chair Jump,legs,cardio,,lower,,,
Slalom Line Jump,legs,cardio,,lower,,,
Burpee Knee Tuck,legs,cardio,,lower,,,
1-Leg Slalom,legs,,,lower,,,
1-Leg Squat,legs,,,lower,,,
Toe Tap 360,cardio,,,lower,,,
Wall Squat,legs,cardio,,lower,,,
Step-Back Lunges,legs,,,lower,,Dumb Bells,
Alternating Side Lunges,legs,,,lower,,Dumb Bells,
Single Leg Wall Squat,legs,,,lower,,,
Albanian Squat,legs,,,lower,,Dumb Bells,
Adductor Lunge,legs,,,lower,,,
Calf Raises,legs,,,lower,,Dumb Bells,
Banana Two Crunch,abs,,,core,,,
Bicycles,abs,,,core,,,
Scissor Twist,abs,,,core,,,
Cross Leg / Wide Leg Sit-ups,abs,,,core,,,
Side Arm Balance Crunch,abs,,,core,,,
Pulse Ups,abs,,,core,,,
V-Up/Roll Up,abs,,,core,,,
Oblique Roll Crunch,abs,,,core,,,
Row the Boat,abs,,,core,,,
Banana Knee Straight Leg Crunch,abs,,,core,,,
Hip Rock & Raise,abs,,,core,,,
Roll V Hold,abs,,,core,,,
Gate Bridge Lift,abs,,,core,,,
Scissors Clapper,abs,,,core,,,
Abergnome,abs,,,core,,,
Crunchy Frog,abs,,,core,,,
Bug Bicycle Crunch,abs,,,core,,,
Tornado,abs,,,core,,,
Twist & Hold,abs,,,core,,,
Spiderman Plank,abs,,,core,,,
Crunch,abs,,,core,,,
Side Plank,abs,,,core,,,
Side V-Up,abs,,,core,,,
